7zip	0:26.02-1.fc44.aarch64	7zip-26.02-1.fc44.src.rpm
LibRaw	0:0.22.2-1.fc44.aarch64	LibRaw-0.22.2-1.fc44.src.rpm
ModemManager-glib	0:1.24.2-3.fc44.aarch64	ModemManager-1.24.2-3.fc44.src.rpm
NetworkManager	1:1.56.1-2.fc44.aarch64	NetworkManager-1.56.1-2.fc44.src.rpm
NetworkManager-config-connectivity-fedora	1:1.56.1-2.fc44.noarch	NetworkManager-1.56.1-2.fc44.src.rpm
NetworkManager-l2tp	0:1.52.4-1.fc44.aarch64	NetworkManager-l2tp-1.52.4-1.fc44.src.rpm
NetworkManager-libnm	1:1.56.1-2.fc44.aarch64	NetworkManager-1.56.1-2.fc44.src.rpm
NetworkManager-libreswan	0:1.2.30-3.fc44.aarch64	NetworkManager-libreswan-1.2.30-3.fc44.src.rpm
NetworkManager-openconnect	0:1.2.10-11.fc44.aarch64	NetworkManager-openconnect-1.2.10-11.fc44.src.rpm
NetworkManager-openvpn	1:1.12.5-4.fc44.aarch64	NetworkManager-openvpn-1.12.5-4.fc44.src.rpm
NetworkManager-pptp	1:1.2.12-12.fc44.aarch64	NetworkManager-pptp-1.2.12-12.fc44.src.rpm
NetworkManager-vpnc	1:1.4.0-6.fc44.aarch64	NetworkManager-vpnc-1.4.0-6.fc44.src.rpm
NetworkManager-wifi	1:1.56.1-2.fc44.aarch64	NetworkManager-1.56.1-2.fc44.src.rpm
OpenCL-ICD-Loader	0:3.0.6-7.20250722gitad770a1.fc44.aarch64	OpenCL-ICD-Loader-3.0.6-7.20250722gitad770a1.fc44.src.rpm
PackageKit	0:1.3.6-1.fc44.aarch64	PackageKit-1.3.6-1.fc44.src.rpm
PackageKit-Qt6	0:1.1.4-4.fc44.aarch64	PackageKit-Qt-1.1.4-4.fc44.src.rpm
PackageKit-command-not-found	0:1.3.6-1.fc44.aarch64	PackageKit-1.3.6-1.fc44.src.rpm
PackageKit-glib	0:1.3.6-1.fc44.aarch64	PackageKit-1.3.6-1.fc44.src.rpm
SDL3	0:3.4.16-1.fc44.aarch64	SDL3-3.4.16-1.fc44.src.rpm
SDL3_image	0:3.4.4-1.fc44.aarch64	SDL3_image-3.4.4-1.fc44.src.rpm
SDL3_ttf	0:3.2.2-4.fc44.aarch64	SDL3_ttf-3.2.2-4.fc44.src.rpm
aardvark-dns	2:1.17.1-1.fc44.aarch64	aardvark-dns-1.17.1-1.fc44.src.rpm
abattis-cantarell-vf-fonts	0:0.301-17.fc44.noarch	abattis-cantarell-fonts-0.301-17.fc44.src.rpm
abrt	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-addon-ccpp	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-addon-kerneloops	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-addon-pstoreoops	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-addon-vmcore	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-addon-xorg	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-dbus	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-desktop	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-gui	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-gui-libs	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-libs	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abrt-plugin-bodhi	0:2.17.9-1.fc44.aarch64	abrt-2.17.9-1.fc44.src.rpm
abseil-cpp	0:20260107.1-1.fc44.aarch64	abseil-cpp-20260107.1-1.fc44.src.rpm
accounts-qml-module-qt6	0:0.7^20231216.05e79eb-8.fc44.aarch64	accounts-qml-module-0.7^20231216.05e79eb-8.fc44.src.rpm
accountsservice	0:23.13.9-16.fc44.aarch64	accountsservice-23.13.9-16.fc44.src.rpm
accountsservice-libs	0:23.13.9-16.fc44.aarch64	accountsservice-23.13.9-16.fc44.src.rpm
acl	0:2.4.0-1.fc44.aarch64	acl-2.4.0-1.fc44.src.rpm
adobe-mappings-cmap	0:20231115-5.fc44.noarch	adobe-mappings-cmap-20231115-5.fc44.src.rpm
adobe-mappings-cmap-deprecated	0:20231115-5.fc44.noarch	adobe-mappings-cmap-20231115-5.fc44.src.rpm
adobe-mappings-pdf	0:20190401-12.fc44.noarch	adobe-mappings-pdf-20190401-12.fc44.src.rpm
adwaita-cursor-theme	0:50.0-1.fc44.noarch	adwaita-icon-theme-50.0-1.fc44.src.rpm
adwaita-icon-theme	0:50.0-1.fc44.noarch	adwaita-icon-theme-50.0-1.fc44.src.rpm
adwaita-icon-theme-legacy	0:46.2-7.fc44.noarch	adwaita-icon-theme-legacy-46.2-7.fc44.src.rpm
aha	0:0.5.1-16.fc44.aarch64	aha-0.5.1-16.fc44.src.rpm
akonadi-server	0:26.08.0-1.fc44.aarch64	akonadi-server-26.08.0-1.fc44.src.rpm
akonadi-server-mysql	0:26.08.0-1.fc44.aarch64	akonadi-server-26.08.0-1.fc44.src.rpm
alsa-lib	0:1.2.16.1-1.fc44.aarch64	alsa-lib-1.2.16.1-1.fc44.src.rpm
alsa-ucm	0:1.2.16.1-1.fc44.noarch	alsa-lib-1.2.16.1-1.fc44.src.rpm
alsa-utils	0:1.2.16-1.fc44.aarch64	alsa-utils-1.2.16-1.fc44.src.rpm
alternatives	0:1.33-5.fc44.aarch64	chkconfig-1.33-5.fc44.src.rpm
appstream	0:1.1.3-1.fc44.aarch64	appstream-1.1.3-1.fc44.src.rpm
appstream-data	0:44-4.fc44.noarch	appstream-data-44-4.fc44.src.rpm
appstream-qt	0:1.1.3-1.fc44.aarch64	appstream-1.1.3-1.fc44.src.rpm
aribb24	0:1.0.3^20160216git5e9be27-5.fc44.aarch64	aribb24-1.0.3^20160216git5e9be27-5.fc44.src.rpm
ark	0:26.08.0-1.fc44.aarch64	ark-26.08.0-1.fc44.src.rpm
ark-libs	0:26.08.0-1.fc44.aarch64	ark-26.08.0-1.fc44.src.rpm
assimp	0:6.0.5-2.fc44.aarch64	assimp-6.0.5-2.fc44.src.rpm
at-spi2-atk	0:2.60.6-1.fc44.aarch64	at-spi2-core-2.60.6-1.fc44.src.rpm
at-spi2-core	0:2.60.6-1.fc44.aarch64	at-spi2-core-2.60.6-1.fc44.src.rpm
atheros-firmware	0:20260810-1.fc44.noarch	linux-firmware-20260810-1.fc44.src.rpm
atk	0:2.60.6-1.fc44.aarch64	at-spi2-core-2.60.6-1.fc44.src.rpm
audiocd-kio	0:26.08.0-1.fc44.aarch64	audiocd-kio-26.08.0-1.fc44.src.rpm
