source_rpm	provider	location	check
7zip-26.02-1.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/7zip/26.02/1.fc44/src/7zip-26.02-1.fc44.src.rpm	HTTP range + RPM magic
LibRaw-0.22.2-1.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/LibRaw/0.22.2/1.fc44/src/LibRaw-0.22.2-1.fc44.src.rpm	HTTP range + RPM magic
ModemManager-1.24.2-3.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/ModemManager/1.24.2/3.fc44/src/ModemManager-1.24.2-3.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-1.56.1-2.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager/1.56.1/2.fc44/src/NetworkManager-1.56.1-2.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-l2tp-1.52.4-1.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager-l2tp/1.52.4/1.fc44/src/NetworkManager-l2tp-1.52.4-1.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-libreswan-1.2.30-3.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager-libreswan/1.2.30/3.fc44/src/NetworkManager-libreswan-1.2.30-3.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-openconnect-1.2.10-11.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager-openconnect/1.2.10/11.fc44/src/NetworkManager-openconnect-1.2.10-11.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-openvpn-1.12.5-4.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager-openvpn/1.12.5/4.fc44/src/NetworkManager-openvpn-1.12.5-4.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-pptp-1.2.12-12.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager-pptp/1.2.12/12.fc44/src/NetworkManager-pptp-1.2.12-12.fc44.src.rpm	HTTP range + RPM magic
NetworkManager-vpnc-1.4.0-6.fc44.src.rpm	Fedora Koji	https://kojipkgs.fedoraproject.org/packages/NetworkManager-vpnc/1.4.0/6.fc44/src/NetworkManager-vpnc-1.4.0-6.fc44.src.rpm	HTTP range + RPM magic
